Player,PlayerLine,PlayerLine
AARON,And,49
AARON,To,18
AARON,That,16
AARON,I,13
AARON,The,13
AARON,This,9
AARON,Why,9
AARON,But,8
AARON,Aside,7
AARON,As,6
AARON,For,6
AARON,My,6
AARON,Now,6
AARON,What,6
AARON,He,5
AARON,Ay,4
AARON,Enter,4
AARON,Exit,4
AARON,If,4
AARON,Let,4
AARON,Or,4
AARON,Then,4
AARON,There,4
AARON,Which,4
AARON,A,3
AARON,Come,3
AARON,Even,3
AARON,Here,3
AARON,His,3
AARON,It,3
AARON,So,3
AARON,Well,3
AARON,Would,3
AARON,Although,2
AARON,An,2
AARON,Away,2
AARON,Be,2
AARON,By,2
AARON,Go,2
AARON,Hark,2
AARON,Heres,2
AARON,How,2
AARON,Ill,2
AARON,Look,2
AARON,Nay,2
AARON,No,2
AARON,Nor,2
AARON,O,2
AARON,Set,2
AARON,Shall,2
AARON,She,2
AARON,Than,2
AARON,They,2
AARON,Tut,2
AARON,Where,2
AARON,Wherein,2
AARON,Will,2
AARON,With,2
ACHILLES,I,10
ACHILLES,What,9
ACHILLES,Come,7
ACHILLES,To,7
ACHILLES,And,6
ACHILLES,Exeunt,6
ACHILLES,My,6
ACHILLES,That,6
ACHILLES,A,5
ACHILLES,Good,5
ACHILLES,How,5
ACHILLES,The,5
ACHILLES,As,4
ACHILLES,Enter,4
ACHILLES,Ill,4
ACHILLES,He,3
ACHILLES,Thou,3
ACHILLES,Tis,3
ACHILLES,Where,3
ACHILLES,Achilles,2
ACHILLES,An,2
ACHILLES,Even,2
ACHILLES,Exit,2
ACHILLES,From,2
ACHILLES,Here,2
ACHILLES,Nay,2
ACHILLES,Now,2
ACHILLES,Patroclus,2
ACHILLES,SCENE,2
ACHILLES,Shall,2
ACHILLES,So,2
ACHILLES,Strike,2
ACHILLES,This,2
ACHILLES,Till,2
ACHILLES,Tomorrow,2
ACHILLES,Which,2
ACHILLES,Why,2
ACHILLES,Will,2
ADRIANA,And,29
ADRIANA,I,16
ADRIANA,That,14
ADRIANA,ANTIPHOLUS,12
ADRIANA,But,7
ADRIANA,By,7
ADRIANA,Come,7
ADRIANA,As,5
ADRIANA,He,5
ADRIANA,Say,5
ADRIANA,To,5
ADRIANA,What,5
ADRIANA,A,4
ADRIANA,Enter,4
ADRIANA,Go,4
ADRIANA,How,4
ADRIANA,This,4
ADRIANA,Ah,3
ADRIANA,Ay,3
ADRIANA,Good,3
ADRIANA,My,3
ADRIANA,O,3
ADRIANA,Whilst,3
ADRIANA,Why,3
ADRIANA,With,3
ADRIANA,At,2
ADRIANA,Do,2
ADRIANA,Exeunt,2
ADRIANA,For,2
ADRIANA,His,2
ADRIANA,If,2
ADRIANA,In,2
ADRIANA,It,2
ADRIANA,Let,2
ADRIANA,Of,2
ADRIANA,So,2
ADRIANA,Some,2
ADRIANA,The,2
ADRIANA,We,2
ADRIANA,Where,2
ADRIANA,Within,2
ADRIANO DE ARMADO,I,26
ADRIANO DE ARMADO,The,13
ADRIANO DE ARMADO,And,12
ADRIANO DE ARMADO,Sweet,7
ADRIANO DE ARMADO,When,7
ADRIANO DE ARMADO,By,5
ADRIANO DE ARMADO,the,4
ADRIANO DE ARMADO,A,3
ADRIANO DE ARMADO,Exit,3
ADRIANO DE ARMADO,How,3
ADRIANO DE ARMADO,Is,3
ADRIANO DE ARMADO,To,3
ADRIANO DE ARMADO,What,3
ADRIANO DE ARMADO,ACT,2
ADRIANO DE ARMADO,Boy,2
ADRIANO DE ARMADO,But,2
ADRIANO DE ARMADO,Cuckoo,2
ADRIANO DE ARMADO,Exeunt,2
ADRIANO DE ARMADO,For,2
